後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
薫香	名詞,一般,*,*,*,*,薫香,クンコウ,クンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
バルサム	名詞,一般,*,*,*,*,バルサム,バルサム,バルサム
油	名詞,接尾,一般,*,*,*,油,ユ,ユ
，	記号,読点,*,*,*,*,，,，,，
エフォド	名詞,一般,*,*,*,*,*
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
胸	名詞,一般,*,*,*,*,胸,ムネ,ムネ
掛け	名詞,接尾,一般,*,*,*,掛け,カケ,カケ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
しま	名詞,一般,*,*,*,*,しま,シマ,シマ
め	名詞,接尾,一般,*,*,*,め,メ,メ
のう	助詞,終助詞,*,*,*,*,のう,ノウ,ノー
と	助詞,格助詞,引用,*,*,*,と,ト,ト
はめ込み	動詞,自立,*,*,五段・マ行,連用形,はめ込む,ハメコミ,ハメコミ
石	名詞,接尾,一般,*,*,*,石,セキ,セキ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
「	記号,括弧開,*,*,*,*,「,「,「
『	記号,括弧開,*,*,*,*,『,『,『
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
，	記号,読点,*,*,*,*,，,，,，
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
方	名詞,接尾,一般,*,*,*,方,カタ,カタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
うち	名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ
心	名詞,一般,*,*,*,*,心,ココロ,ココロ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
賢い	形容詞,自立,*,*,形容詞・アウオ段,基本形,賢い,カシコイ,カシコイ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
皆	名詞,代名詞,一般,*,*,*,皆,ミナ,ミナ
，	記号,読点,*,*,*,*,，,，,，
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
，	記号,読点,*,*,*,*,，,，,，
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
命じ	動詞,自立,*,*,一段,連用形,命じる,メイジ,メイジ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
すべて	名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
物	名詞,非自立,一般,*,*,*,物,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
造る	動詞,自立,*,*,五段・ラ行,基本形,造る,ツクル,ツクル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
。	記号,句点,*,*,*,*,。,。,。
すなわち	接続詞,*,*,*,*,*,すなわち,スナワチ,スナワチ
，	記号,読点,*,*,*,*,，,，,，
幕屋	名詞,一般,*,*,*,*,幕屋,マクヤ,マクヤ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
天幕	名詞,一般,*,*,*,*,天幕,テンマク,テンマク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
覆い	動詞,自立,*,*,五段・ワ行促音便,連用形,覆う,オオイ,オオイ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
留め	名詞,一般,*,*,*,*,留め,トメ,トメ
金	名詞,接尾,一般,*,*,*,金,キン,キン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
区切り	名詞,一般,*,*,*,*,区切り,クギリ,クギリ
枠	名詞,接尾,一般,*,*,*,枠,ワク,ワク
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
横木	名詞,一般,*,*,*,*,横木,ヨコギ,ヨコギ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
柱	名詞,一般,*,*,*,*,柱,ハシラ,ハシラ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
受け	動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ
台	名詞,接尾,一般,*,*,*,台,ダイ,ダイ
，	名詞,数,*,*,*,*,，,，,，
箱	名詞,接尾,助数詞,*,*,*,箱,ハコ,ハコ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
さ	副詞,助詞類接続,*,*,*,*,さ,サ,サ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
，	記号,読点,*,*,*,*,，,，,，
覆い	名詞,一般,*,*,*,*,覆い,オオイ,オーイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
仕切り	名詞,一般,*,*,*,*,仕切り,シキリ,シキリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
垂れ幕	名詞,一般,*,*,*,*,垂れ幕,タレマク,タレマク
，	記号,読点,*,*,*,*,，,，,，
食卓	名詞,一般,*,*,*,*,食卓,ショクタク,ショクタク
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
さ	助詞,終助詞,*,*,*,*,さ,サ,サ
おと	名詞,一般,*,*,*,*,おと,オト,オト
すべて	名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
器具	名詞,一般,*,*,*,*,器具,キグ,キグ
，	記号,読点,*,*,*,*,，,，,，
また	接続詞,*,*,*,*,*,また,マタ,マタ
供え	名詞,一般,*,*,*,*,供え,ソナエ,ソナエ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
パン	名詞,一般,*,*,*,*,パン,パン,パン
，	記号,読点,*,*,*,*,，,，,，
明かり	名詞,一般,*,*,*,*,明かり,アカリ,アカリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
燭台	名詞,一般,*,*,*,*,燭台,ショクダイ,ショクダイ
，	記号,読点,*,*,*,*,，,，,，
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
器具	名詞,一般,*,*,*,*,器具,キグ,キグ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
ともし	動詞,自立,*,*,五段・サ行,連用形,ともす,トモシ,トモシ
び	名詞,一般,*,*,*,*,*
皿	名詞,一般,*,*,*,*,皿,サラ,サラ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
明かり	名詞,一般,*,*,*,*,明かり,アカリ,アカリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
油	名詞,一般,*,*,*,*,油,アブラ,アブラ
，	記号,読点,*,*,*,*,，,，,，
香	名詞,一般,*,*,*,*,香,コウ,コー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
祭壇	名詞,一般,*,*,*,*,祭壇,サイダン,サイダン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
さ	副詞,助詞類接続,*,*,*,*,さ,サ,サ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
，	記号,読点,*,*,*,*,，,，,，
そそぎ	動詞,自立,*,*,五段・ガ行,連用形,そそぐ,ソソギ,ソソギ
油	名詞,一般,*,*,*,*,油,アブラ,アブラ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
薫香	名詞,一般,*,*,*,*,薫香,クンコウ,クンコー
，	記号,読点,*,*,*,*,，,，,，
幕屋	名詞,一般,*,*,*,*,幕屋,マクヤ,マクヤ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
入口	名詞,一般,*,*,*,*,入口,イリグチ,イリグチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
入口	名詞,一般,*,*,*,*,入口,イリグチ,イリグチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
仕切り	名詞,一般,*,*,*,*,仕切り,シキリ,シキリ
幕	名詞,一般,*,*,*,*,幕,マク,マク
，	記号,読点,*,*,*,*,，,，,，
焼	接頭詞,名詞接続,*,*,*,*,焼,ショウ,ショー
燔	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
捧げ	動詞,自立,*,*,一段,連用形,捧げる,ササゲ,ササゲ
物	名詞,接尾,一般,*,*,*,物,ブツ,ブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
祭壇	名詞,一般,*,*,*,*,祭壇,サイダン,サイダン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
銅	名詞,一般,*,*,*,*,銅,ドウ,ドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
格子	名詞,一般,*,*,*,*,格子,コウシ,コーシ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
さ	助詞,終助詞,*,*,*,*,さ,サ,サ
おと	名詞,一般,*,*,*,*,おと,オト,オト
すべて	名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
器具	名詞,一般,*,*,*,*,器具,キグ,キグ
，	記号,読点,*,*,*,*,，,，,，
水盤	名詞,一般,*,*,*,*,水盤,スイバン,スイバン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
台	名詞,一般,*,*,*,*,台,ダイ,ダイ
，	記号,読点,*,*,*,*,，,，,，
中庭	名詞,一般,*,*,*,*,中庭,ナカニワ,ナカニワ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
掛け	名詞,一般,*,*,*,*,掛け,カケ,カケ
布	名詞,一般,*,*,*,*,布,ヌノ,ヌノ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
柱	名詞,一般,*,*,*,*,柱,ハシラ,ハシラ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
受け	動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ
台	名詞,接尾,一般,*,*,*,台,ダイ,ダイ
，	記号,読点,*,*,*,*,，,，,，
中庭	名詞,一般,*,*,*,*,中庭,ナカニワ,ナカニワ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
門	名詞,一般,*,*,*,*,門,モン,モン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
仕切り	名詞,一般,*,*,*,*,仕切り,シキリ,シキリ
幕	名詞,一般,*,*,*,*,幕,マク,マク
，	記号,読点,*,*,*,*,，,，,，
幕屋	名詞,一般,*,*,*,*,幕屋,マクヤ,マクヤ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
天幕	名詞,一般,*,*,*,*,天幕,テンマク,テンマク
用	名詞,接尾,一般,*,*,*,用,ヨウ,ヨー
留め	名詞,一般,*,*,*,*,留め,トメ,トメ
杭	名詞,一般,*,*,*,*,杭,クイ,クイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
中庭	名詞,一般,*,*,*,*,中庭,ナカニワ,ナカニワ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
天幕	名詞,一般,*,*,*,*,天幕,テンマク,テンマク
用	名詞,接尾,一般,*,*,*,用,ヨウ,ヨー
留め	名詞,一般,*,*,*,*,留め,トメ,トメ
杭	名詞,一般,*,*,*,*,杭,クイ,クイ
，	記号,読点,*,*,*,*,，,，,，
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
細	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,細い,ホソ,ホソ
綱	名詞,固有名詞,人名,名,*,*,綱,ツナ,ツナ
，	記号,読点,*,*,*,*,，,，,，
聖なる	連体詞,*,*,*,*,*,聖なる,セイナル,セイナル
所	名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
