ああ	感動詞,*,*,*,*,*,ああ,アア,アー
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
乳飲み子	名詞,一般,*,*,*,*,乳飲み子,チノミゴ,チノミゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
舌	名詞,一般,*,*,*,*,舌,シタ,シタ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
渇き	名詞,一般,*,*,*,*,渇き,カワキ,カワキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
上	名詞,一般,*,*,*,*,上,ウエ,ウエ
あご	名詞,一般,*,*,*,*,あご,アゴ,アゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
くっつい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,くっつく,クッツイ,クッツイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
快い	形容詞,自立,*,*,形容詞・アウオ段,基本形,快い,ココロヨイ,ココロヨイ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
者	名詞,一般,*,*,*,*,者,モノ,モノ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
，	記号,読点,*,*,*,*,，,，,，
ちまた	名詞,一般,*,*,*,*,ちまた,チマタ,チマタ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
驚がく	名詞,サ変接続,*,*,*,*,驚がく,キョウガク,キョーガク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
襲わ	動詞,自立,*,*,五段・ワ行促音便,未然形,襲う,オソワ,オソワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
民	名詞,一般,*,*,*,*,民,ミン,ミン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
娘	名詞,一般,*,*,*,*,娘,ムスメ,ムスメ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
[	名詞,サ変接続,*,*,*,*,*
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
処罰	名詞,サ変接続,*,*,*,*,処罰,ショバツ,ショバツ
]	名詞,サ変接続,*,*,*,*,*
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
また	接続詞,*,*,*,*,*,また,マタ,マタ
，	記号,読点,*,*,*,*,，,，,，
ソドム	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
罪	名詞,一般,*,*,*,*,罪,ツミ,ツミ
[	名詞,サ変接続,*,*,*,*,*
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
処罰	名詞,サ変接続,*,*,*,*,処罰,ショバツ,ショバツ
]	名詞,サ変接続,*,*,*,*,*
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
も	助詞,係助詞,*,*,*,*,も,モ,モ
大きく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
ナジル	名詞,一般,*,*,*,*,*
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
雪	名詞,一般,*,*,*,*,雪,ユキ,ユキ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
も	助詞,係助詞,*,*,*,*,も,モ,モ
浄	名詞,固有名詞,人名,名,*,*,浄,キヨシ,キヨシ
く	動詞,非自立,*,*,五段・カ行促音便,基本形,く,ク,ク
，	記号,読点,*,*,*,*,，,，,，
乳	名詞,一般,*,*,*,*,乳,チチ,チチ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
も	助詞,係助詞,*,*,*,*,も,モ,モ
白かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,白い,シロカッ,シロカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
容ぼう	名詞,一般,*,*,*,*,容ぼう,ヨウボウ,ヨーボー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
黒	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,黒い,クロ,クロ
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ
そのもの	名詞,一般,*,*,*,*,そのもの,ソノモノ,ソノモノ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
も	助詞,係助詞,*,*,*,*,も,モ,モ
暗く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,暗い,クラク,クラク
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ちまた	名詞,一般,*,*,*,*,ちまた,チマタ,チマタ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
見分け	名詞,一般,*,*,*,*,見分け,ミワケ,ミワケ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
つか	動詞,自立,*,*,五段・カ行イ音便,未然形,つく,ツカ,ツカ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
剣	名詞,一般,*,*,*,*,剣,ケン,ケン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
打ち殺さ	動詞,自立,*,*,五段・サ行,未然形,打ち殺す,ウチコロサ,ウチコロサ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
者	名詞,一般,*,*,*,*,者,モノ,モノ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
，	記号,読点,*,*,*,*,，,，,，
飢きん	名詞,一般,*,*,*,*,飢きん,キキン,キキン
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
打ち殺さ	動詞,自立,*,*,五段・サ行,未然形,打ち殺す,ウチコロサ,ウチコロサ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
者	名詞,一般,*,*,*,*,者,モノ,モノ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
も	助詞,係助詞,*,*,*,*,も,モ,モ
まし	名詞,形容動詞語幹,*,*,*,*,まし,マシ,マシ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
同情	名詞,サ変接続,*,*,*,*,同情,ドウジョウ,ドージョー
心	名詞,接尾,一般,*,*,*,心,シン,シン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
豊か	名詞,形容動詞語幹,*,*,*,*,豊か,ユタカ,ユタカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
女	名詞,一般,*,*,*,*,女,オンナ,オンナ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
手	名詞,一般,*,*,*,*,手,テ,テ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
，	記号,読点,*,*,*,*,，,，,，
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
自身	名詞,一般,*,*,*,*,自身,ジシン,ジシン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
煮	動詞,自立,*,*,一段,連用形,煮る,ニ,ニ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
激しい	形容詞,自立,*,*,形容詞・イ段,基本形,激しい,ハゲシイ,ハゲシイ
怒り	名詞,一般,*,*,*,*,怒り,イカリ,イカリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
遂げ	動詞,自立,*,*,一段,未然形,遂げる,トゲ,トゲ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
燃える	動詞,自立,*,*,一段,基本形,燃える,モエル,モエル
怒り	名詞,一般,*,*,*,*,怒り,イカリ,イカリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
注ぎ	動詞,自立,*,*,五段・ガ行,連用形,注ぐ,ソソギ,ソソギ
出さ	動詞,自立,*,*,五段・サ行,未然形,出す,ダサ,ダサ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
地	名詞,一般,*,*,*,*,地,チ,チ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
王	名詞,一般,*,*,*,*,王,オウ,オー
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
も	助詞,係助詞,*,*,*,*,も,モ,モ
，	記号,読点,*,*,*,*,，,，,，
産出	名詞,サ変接続,*,*,*,*,産出,サンシュツ,サンシュツ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
地	名詞,一般,*,*,*,*,地,チ,チ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
住む	動詞,自立,*,*,五段・マ行,基本形,住む,スム,スム
すべて	名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
者	名詞,一般,*,*,*,*,者,モノ,モノ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
も	助詞,係助詞,*,*,*,*,も,モ,モ
信じ	動詞,自立,*,*,一段,未然形,信じる,シンジ,シンジ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
預言	名詞,サ変接続,*,*,*,*,預言,ヨゲン,ヨゲン
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
罪	名詞,一般,*,*,*,*,罪,ツミ,ツミ
，	記号,読点,*,*,*,*,，,，,，
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
祭司	名詞,一般,*,*,*,*,祭司,サイシ,サイシ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ゆえに	接続詞,*,*,*,*,*,ゆえに,ユエニ,ユエニ
，	記号,読点,*,*,*,*,，,，,，
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
盲人	名詞,一般,*,*,*,*,盲人,モウジン,モージン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
ちまた	名詞,一般,*,*,*,*,ちまた,チマタ,チマタ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
さまよっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,さまよう,サマヨッ,サマヨッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
血	名詞,一般,*,*,*,*,血,チ,チ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
汚れ	動詞,自立,*,*,一段,連用形,汚れる,ヨゴレ,ヨゴレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
「	記号,括弧開,*,*,*,*,「,「,「
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
行け	動詞,自立,*,*,五段・カ行促音便,命令ｅ,行く,イケ,イケ
！	記号,一般,*,*,*,*,！,！,！
汚れ	動詞,自立,*,*,一段,連用形,汚れる,ヨゴレ,ヨゴレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
！	記号,一般,*,*,*,*,！,！,！
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
，	記号,読点,*,*,*,*,，,，,，
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
呼ばわっ	動詞,自立,*,*,五段・ラ行,連用タ接続,呼ばわる,ヨバワッ,ヨバワッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
「	記号,括弧開,*,*,*,*,「,「,「
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
行け	動詞,自立,*,*,五段・カ行促音便,命令ｅ,行く,イケ,イケ
！	記号,一般,*,*,*,*,！,！,！
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
行け	動詞,自立,*,*,五段・カ行促音便,命令ｅ,行く,イケ,イケ
！	記号,一般,*,*,*,*,！,！,！
触れる	動詞,自立,*,*,一段,基本形,触れる,フレル,フレル
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
！	記号,一般,*,*,*,*,！,！,！
」	記号,括弧閉,*,*,*,*,」,」,」
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
のみ	助詞,副助詞,*,*,*,*,のみ,ノミ,ノミ
顔	名詞,一般,*,*,*,*,顔,カオ,カオ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
離散	名詞,サ変接続,*,*,*,*,離散,リサン,リサン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
[	名詞,サ変接続,*,*,*,*,*
神	名詞,接尾,一般,*,*,*,神,シン,シン
]	名詞,サ変接続,*,*,*,*,*
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
再び	副詞,助詞類接続,*,*,*,*,再び,フタタビ,フタタビ
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
顧み	動詞,自立,*,*,一段,未然形,顧みる,カエリミ,カエリミ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
[	名詞,サ変接続,*,*,*,*,*
生き	動詞,自立,*,*,一段,連用形,生きる,イキ,イキ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
]	名詞,サ変接続,*,*,*,*,*
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル
うち	名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
，	記号,読点,*,*,*,*,，,，,，
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目	名詞,一般,*,*,*,*,目,メ,メ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
援助	名詞,サ変接続,*,*,*,*,援助,エンジョ,エンジョ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
むなしく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,むなしい,ムナシク,ムナシク
待ち焦がれる	動詞,自立,*,*,一段,基本形,待ち焦がれる,マチコガレル,マチコガレル
。	記号,句点,*,*,*,*,。,。,。
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
歩み	名詞,一般,*,*,*,*,歩み,アユミ,アユミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つけねらっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,つけねらう,ツケネラッ,ツケネラッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
，	記号,読点,*,*,*,*,，,，,，
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
公共	名詞,一般,*,*,*,*,公共,コウキョウ,コーキョー
広場	名詞,一般,*,*,*,*,広場,ヒロバ,ヒロバ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
歩く	動詞,自立,*,*,五段・カ行イ音便,基本形,歩く,アルク,アルク
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
追う	動詞,自立,*,*,五段・ワ行促音便,基本形,追う,オウ,オウ
者	名詞,一般,*,*,*,*,者,モノ,モノ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
天	名詞,一般,*,*,*,*,天,テン,テン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
鷲	名詞,一般,*,*,*,*,鷲,ワシ,ワシ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
も	助詞,係助詞,*,*,*,*,も,モ,モ
速かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,速い,ハヤカッ,ハヤカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
鼻孔	名詞,一般,*,*,*,*,鼻孔,ビコウ,ビコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
息	名詞,サ変接続,*,*,*,*,息,イキ,イキ
たる	助動詞,*,*,*,文語・ナリ,体言接続,たり,タル,タル
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
，	記号,読点,*,*,*,*,，,，,，
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
油	名詞,一般,*,*,*,*,油,アブラ,アブラ
そそが	動詞,自立,*,*,五段・ガ行,未然形,そそぐ,ソソガ,ソソガ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
大きな	連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ
坑	名詞,一般,*,*,*,*,坑,アナ,アナ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
捕らえ	動詞,自立,*,*,一段,未然形,捕らえる,トラエ,トラエ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
エドム	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
娘	名詞,一般,*,*,*,*,娘,ムスメ,ムスメ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
，	記号,読点,*,*,*,*,，,，,，
歓喜	名詞,サ変接続,*,*,*,*,歓喜,カンキ,カンキ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
，	記号,読点,*,*,*,*,，,，,，
歓べ	動詞,自立,*,*,五段・バ行,命令ｅ,歓ぶ,ヨロコベ,ヨロコベ
。	記号,句点,*,*,*,*,。,。,。
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
