ああ	感動詞,*,*,*,*,*,ああ,アア,アー
，	記号,読点,*,*,*,*,，,，,，
至る	動詞,自立,*,*,五段・ラ行,基本形,至る,イタル,イタル
所	名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
畏怖	名詞,サ変接続,*,*,*,*,畏怖,イフ,イフ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
念	名詞,一般,*,*,*,*,念,ネン,ネン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
起こさ	動詞,自立,*,*,五段・サ行,未然形,起こす,オコサ,オコサ
せる	動詞,接尾,*,*,一段,基本形,せる,セル,セル
民	名詞,一般,*,*,*,*,民,ミン,ミン
，	記号,読点,*,*,*,*,，,，,，
川	名詞,一般,*,*,*,*,川,カワ,カワ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
地	名詞,一般,*,*,*,*,地,チ,チ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
洗い流し	動詞,自立,*,*,五段・サ行,連用形,洗い流す,アライナガシ,アライナガシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
，	記号,読点,*,*,*,*,，,，,，
強じん	名詞,形容動詞語幹,*,*,*,*,強じん,キョウジン,キョージン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
，	記号,読点,*,*,*,*,，,，,，
踏みにじる	動詞,自立,*,*,五段・ラ行,基本形,踏みにじる,フミニジル,フミニジル
国民	名詞,一般,*,*,*,*,国民,コクミン,コクミン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
，	記号,読点,*,*,*,*,，,，,，
万	名詞,数,*,*,*,*,万,マン,マン
軍	名詞,接尾,一般,*,*,*,軍,グン,グン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
のみ	助詞,副助詞,*,*,*,*,のみ,ノミ,ノミ
名	名詞,一般,*,*,*,*,名,ナ,ナ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
場所	名詞,一般,*,*,*,*,場所,バショ,バショ
，	記号,読点,*,*,*,*,，,，,，
シオン	名詞,一般,*,*,*,*,シオン,シオン,シオン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
山	名詞,一般,*,*,*,*,山,ヤマ,ヤマ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
」	記号,括弧閉,*,*,*,*,」,」,」
。	記号,句点,*,*,*,*,。,。,。
EOS
